Lused,time,recall,errorrate,points
5,62723,0.6351,0.563086,3225240
6,73986,0.6731,0.447003,3840481
7,71984,0.71555,0.344683,4491227
8,79497,0.7545,0.244703,5173167
9,79962,0.7769,0.211147,5781835
10,88373,0.79585,0.174831,6423307
11,91859,0.82015,0.136495,7125868
12,94428,0.83345,0.11765,7757359
13,96875,0.84575,0.106389,8394769
14,105473,0.8618,0.0890282,9075779
15,109830,0.87305,0.0767778,9729842
16,111359,0.8791,0.0717738,10348215
17,116701,0.88545,0.06658,10962761
18,120887,0.89385,0.0559335,11632576
19,124979,0.8986,0.0518233,12258384
20,131735,0.90675,0.0416417,12965904
21,135453,0.91125,0.0396195,13600791
22,138622,0.9158,0.0364787,14232132
23,146512,0.92025,0.034057,14898280
24,152201,0.924,0.032435,15534956
25,155979,0.92825,0.0304574,16208747
26,157081,0.93125,0.0279079,16838673
27,156766,0.93505,0.0248602,17510668
28,162951,0.93675,0.0234884,18173486
29,164322,0.9392,0.0224904,18761135
30,172688,0.94425,0.0186883,19477430
31,172825,0.9463,0.0181549,20103512
32,185980,0.94895,0.0172636,20781532
33,169772,0.9515,0.0155118,21402292
34,171083,0.9536,0.0150896,22055431
35,174110,0.95545,0.0143049,22705723
36,179706,0.9571,0.0119386,23302491
37,179960,0.95825,0.0117554,23908976
38,185000,0.95925,0.0114577,24609420
39,186285,0.96,0.0112812,25223665
40,191938,0.96225,0.0103665,25975377
41,199435,0.9637,0.00992891,26660350
42,199960,0.9652,0.00920872,27326515
43,203268,0.9657,0.0088311,27971558
44,209550,0.96675,0.00832311,28632289
45,215062,0.96805,0.00794108,29346999
46,212210,0.9683,0.0078644,29949374
47,219765,0.96905,0.00728057,30595491
48,222033,0.97065,0.00673659,31287886
49,229908,0.9711,0.00662212,31914391
50,225920,0.9721,0.00627645,32524374
