Lused,time,recall,errorrate,points
5,40744,0.2789,2.74191,263350
6,47231,0.3094,2.58683,316483
7,40630,0.3392,2.42266,369734
8,49561,0.37185,2.24404,423219
9,47417,0.39515,2.12476,476321
10,47225,0.41095,2.04802,528620
11,50737,0.4361,1.92128,581667
12,57249,0.45145,1.83838,634216
13,54622,0.4682,1.75057,686408
14,59378,0.48865,1.64233,739209
15,59167,0.50395,1.5653,792058
16,66895,0.5144,1.51356,844597
17,66587,0.5257,1.45553,897983
18,64518,0.53335,1.42088,950153
19,67583,0.54165,1.38011,1003024
20,69985,0.54795,1.35249,1055243
21,72159,0.55905,1.29806,1108832
22,74922,0.5659,1.26291,1161998
23,77631,0.58435,1.16003,1216538
24,82977,0.5962,1.10693,1269688
25,80634,0.6059,1.05798,1322804
26,86183,0.6131,1.02568,1375847
27,92405,0.6177,1.00537,1428958
28,86304,0.6234,0.977144,1482466
29,92970,0.6269,0.960927,1534647
30,90854,0.6319,0.940726,1587003
31,95149,0.6386,0.907915,1639856
32,102529,0.6466,0.87448,1692634
33,99523,0.6497,0.860606,1744352
34,104020,0.65405,0.842973,1796774
35,101188,0.6588,0.822021,1850498
36,113845,0.66315,0.805652,1903522
37,105390,0.66515,0.797733,1956316
38,112984,0.66945,0.782622,2008853
39,109586,0.673,0.765851,2061605
40,117066,0.6794,0.737697,2114238
41,117310,0.68665,0.703769,2167756
42,122563,0.6936,0.676017,2221805
43,123225,0.6972,0.663967,2274448
44,125499,0.69935,0.656229,2326576
45,122027,0.70195,0.648423,2379342
46,130596,0.70535,0.636886,2432432
47,129621,0.70785,0.628816,2485114
48,132888,0.7124,0.611029,2538540
49,135538,0.71435,0.603622,2590608
50,138741,0.71725,0.590166,2643388
